Fecha,Contrato,Usuario,Nodo Comercial Recepción,Descripción Nodo Comercial Recepción ,Nodo Comercial Entrega,Descripción Nodo Comercial Entrega,Zona de Tarifa de Inyección,Zona de Tarifa de Extracción,Cantidad Nominada Recepción (GJ/día),Cantidad Asignada Recepción (GJ/día),Cantidad Nominada Entrega (GJ/día),Cantidad Asignada Entrega (GJ/día), Gas en Exceso (GJ/día),Tarifa Exceso Firme (Pesos/GJ) ,Tarifa Uso Interrumpible (Pesos/GJ),Cargo Uso (Pesos),Cargo Gas en Exceso (Pesos),Total a facturar (Pesos)
15/01/2021,CENAGAS/A/500/18,Comisión Federal de Electricidad,V045,PEPMENDOZA,E168,CFESALAMANCACOG,Zona 7,Zona 6,0,0,0,0,0.00,1.419390,1.419390,0.00,0.00,0.00
15/01/2021,CENAGAS/A/100/18,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,3572.756,3572.756,3513,3301.083,0.00,1.419390,1.419390,0.00,0.00,0.00
15/01/2021,CENAGAS/B/100/19,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,915.309,915.309,900,900,0.00,17.087160,17.087160,0.00,0.00,0.00
15/01/2021,CENAGAS/A/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,61.021,61.021,60,232.051,0.00,3.667480,3.667480,851.04,0.00,851.04
15/01/2021,CENAGAS/A/500/17,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,0,0,0,0,0.00,13.713330,13.713330,0.00,0.00,0.00
15/01/2021,CENAGAS/A/200/18,Naturgy Servicios,V033,IMPTENNESSEE,N103,NORESTE,Zona 3,Zona 3,130.177,130.177,128,0,0.00,15.847040,15.847040,0.00,0.00,0.00
15/01/2021,CENAGAS/A/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1477.716,1477.716,1453,1476.81,0.00,17.087160,17.087160,25234.49,0.00,25234.49
15/01/2021,CENAGAS/B/200/19,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,3378.507,3378.507,3322,3451.711,0.00,17.087160,17.087160,58979.94,0.00,58979.94
15/01/2021,CENAGAS/B/600/17,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,1118.711,1118.711,1100,6466.352,0.00,3.667480,3.667480,23715.22,0.00,23715.22
15/01/2021,CENAGAS/B/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1249.905,1249.905,1229,1143.051,0.00,17.087160,17.087160,19531.50,0.00,19531.50
15/01/2021,CENAGAS/A/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,948.87,948.87,933,1044.025,0.00,15.847040,15.847040,16544.71,0.00,16544.71
15/01/2021,CENAGAS/A/900/18,Energía Infra,V030,GLORIADIOS,N128,EZAPATA2,Zona 1,Zona 5,5398.289,5398.289,5308,2417.561,0.00,13.713330,13.713330,33152.81,0.00,33152.81
15/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,2829.322,2829.322,2782,3042.856,0.00,13.713330,13.713330,41727.69,0.00,41727.69
15/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,1972.999,1972.999,1940,1940,0.00,3.667480,3.667480,0.00,0.00,0.00
15/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,2403.195,2403.195,2363,2556.344,0.00,3.667480,3.667480,9375.34,0.00,9375.34
15/01/2021,CENAGAS/B/800/18,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,1850.958,1850.958,1820,1618.167,0.00,15.847040,15.847040,25643.16,0.00,25643.16
15/01/2021,CENAGAS/B/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,1627.216,1627.216,1600,1600,0.00,3.667480,3.667480,0.00,0.00,0.00
